date,month,year,state,number_of_fires
1998-01-01,January,1998,Acre,0.0
1999-01-01,January,1999,Acre,0.0
2000-01-01,January,2000,Acre,0.0
2001-01-01,January,2001,Acre,0.0
2002-01-01,January,2002,Acre,0.0
2003-01-01,January,2003,Acre,10.0
2004-01-01,January,2004,Acre,0.0
2005-01-01,January,2005,Acre,12.0
2006-01-01,January,2006,Acre,4.0
2007-01-01,January,2007,Acre,0.0
2008-01-01,January,2008,Acre,0.0
2009-01-01,January,2009,Acre,0.0
2010-01-01,January,2010,Acre,1.0
2011-01-01,January,2011,Acre,0.0
2012-01-01,January,2012,Acre,0.0
2013-01-01,January,2013,Acre,0.0
2014-01-01,January,2014,Acre,0.0
2015-01-01,January,2015,Acre,1.0
2016-01-01,January,2016,Acre,12.0
2017-01-01,January,2017,Acre,0.0
1998-01-01,February,1998,Acre,0.0
1999-01-01,February,1999,Acre,0.0
2000-01-01,February,2000,Acre,0.0
2001-01-01,February,2001,Acre,0.0
2002-01-01,February,2002,Acre,1.0
2003-01-01,February,2003,Acre,0.0
2004-01-01,February,2004,Acre,3.0
2005-01-01,February,2005,Acre,0.0
2006-01-01,February,2006,Acre,0.0
2007-01-01,February,2007,Acre,5.0
2008-01-01,February,2008,Acre,0.0
2009-01-01,February,2009,Acre,2.0
2010-01-01,February,2010,Acre,0.0
2011-01-01,February,2011,Acre,0.0
2012-01-01,February,2012,Acre,0.0
2013-01-01,February,2013,Acre,0.0
2014-01-01,February,2014,Acre,0.0
2015-01-01,February,2015,Acre,2.0
2016-01-01,February,2016,Acre,5.0
2017-01-01,February,2017,Acre,1.0
1998-01-01,March,1998,Acre,0.0
1999-01-01,March,1999,Acre,0.0
2000-01-01,March,2000,Acre,11.0
2001-01-01,March,2001,Acre,0.0
2002-01-01,March,2002,Acre,0.0
2003-01-01,March,2003,Acre,0.0
2004-01-01,March,2004,Acre,0.0
2005-01-01,March,2005,Acre,3.0
2006-01-01,March,2006,Acre,0.0
2007-01-01,March,2007,Acre,2.0
2008-01-01,March,2008,Acre,0.0
2009-01-01,March,2009,Acre,1.0
2010-01-01,March,2010,Acre,0.0
2011-01-01,March,2011,Acre,0.0
2012-01-01,March,2012,Acre,1.0
2013-01-01,March,2013,Acre,2.0
2014-01-01,March,2014,Acre,1.0
2015-01-01,March,2015,Acre,2.0
2016-01-01,March,2016,Acre,0.0
2017-01-01,March,2017,Acre,0.0
1998-01-01,April,1998,Acre,0.0
1999-01-01,April,1999,Acre,0.0
2000-01-01,April,2000,Acre,1.0
2001-01-01,April,2001,Acre,0.0
2002-01-01,April,2002,Acre,0.0
2003-01-01,April,2003,Acre,1.0
2004-01-01,April,2004,Acre,2.0
2005-01-01,April,2005,Acre,1.0
2007-01-01,April,2007,Acre,0.0
2008-01-01,April,2008,Acre,0.0
2009-01-01,April,2009,Acre,0.0
2010-01-01,April,2010,Acre,3.0
2011-01-01,April,2011,Acre,2.0
2012-01-01,April,2012,Acre,1.0
2013-01-01,April,2013,Acre,19.0
2014-01-01,April,2014,Acre,7.0
2015-01-01,April,2015,Acre,3.0
2016-01-01,April,2016,Acre,0.0
2017-01-01,April,2017,Acre,1.0
1998-01-01,May,1998,Acre,0.0
1999-01-01,May,1999,Acre,0.0
2000-01-01,May,2000,Acre,1.0
2001-01-01,May,2001,Acre,0.0
2002-01-01,May,2002,Acre,0.0
2003-01-01,May,2003,Acre,6.0
2004-01-01,May,2004,Acre,7.0
2005-01-01,May,2005,Acre,2.0
2006-01-01,May,2006,Acre,8.0
2007-01-01,May,2007,Acre,1.0
2008-01-01,May,2008,Acre,0.0
2009-01-01,May,2009,Acre,3.0
2010-01-01,May,2010,Acre,9.0
2011-01-01,May,2011,Acre,3.0
2012-01-01,May,2012,Acre,3.0
2013-01-01,May,2013,Acre,4.0
2014-01-01,May,2014,Acre,1.0
2015-01-01,May,2015,Acre,2.0
2016-01-01,May,2016,Acre,21.0
2017-01-01,May,2017,Acre,10.0
1998-01-01,June,1998,Acre,3.0
1999-01-01,June,1999,Acre,0.0
2000-01-01,June,2000,Acre,1.0
2001-01-01,June,2001,Acre,1.0
2002-01-01,June,2002,Acre,0.0
2003-01-01,June,2003,Acre,0.0
2004-01-01,June,2004,Acre,5.0
2005-01-01,June,2005,Acre,27.0
2006-01-01,June,2006,Acre,1.0
2007-01-01,June,2007,Acre,4.0
2009-01-01,June,2009,Acre,0.0
2010-01-01,June,2010,Acre,1.0
2011-01-01,June,2011,Acre,10.0
2012-01-01,June,2012,Acre,7.0
2013-01-01,June,2013,Acre,8.0
2014-01-01,June,2014,Acre,17.0
2015-01-01,June,2015,Acre,40.0
2016-01-01,June,2016,Acre,87.0
2017-01-01,June,2017,Acre,45.0
1998-01-01,July,1998,Acre,37.0
1999-01-01,July,1999,Acre,1.0
2000-01-01,July,2000,Acre,1.0
2001-01-01,July,2001,Acre,3.0
2002-01-01,July,2002,Acre,39.0
2003-01-01,July,2003,Acre,168.0
2004-01-01,July,2004,Acre,42.0
2006-01-01,July,2006,Acre,33.0
2007-01-01,July,2007,Acre,29.0
2008-01-01,July,2008,Acre,41.0
2009-01-01,July,2009,Acre,31.0
2010-01-01,July,2010,Acre,126.0
2011-01-01,July,2011,Acre,93.0
2012-01-01,July,2012,Acre,71.0
2013-01-01,July,2013,Acre,54.0
2014-01-01,July,2014,Acre,60.0
2015-01-01,July,2015,Acre,109.0
2016-01-01,July,2016,Acre,533.0
2017-01-01,July,2017,Acre,457.0
1998-01-01,August,1998,Acre,130.0
1999-01-01,August,1999,Acre,63.0
2000-01-01,August,2000,Acre,136.0
2001-01-01,August,2001,Acre,396.0
2002-01-01,August,2002,Acre,728.0
2003-01-01,August,2003,Acre,1.976
2004-01-01,August,2004,Acre,645.0
2005-01-01,August,2005,Acre,4.198
2006-01-01,August,2006,Acre,839.0
2007-01-01,August,2007,Acre,960.0
2008-01-01,August,2008,Acre,445.0
2009-01-01,August,2009,Acre,194.0
2010-01-01,August,2010,Acre,1.682
2011-01-01,August,2011,Acre,425.0
2012-01-01,August,2012,Acre,739.0
2013-01-01,August,2013,Acre,679.0
2014-01-01,August,2014,Acre,1.1
2015-01-01,August,2015,Acre,1.397
2016-01-01,August,2016,Acre,2.188
2017-01-01,August,2017,Acre,1.493
1998-01-01,September,1998,Acre,509.0
1999-01-01,September,1999,Acre,209.0
2000-01-01,September,2000,Acre,265.0
2001-01-01,September,2001,Acre,290.0
2002-01-01,September,2002,Acre,1.949
2003-01-01,September,2003,Acre,3.942
2004-01-01,September,2004,Acre,1.978
2005-01-01,September,2005,Acre,4.253
2006-01-01,September,2006,Acre,2.37
2007-01-01,September,2007,Acre,2.08
2008-01-01,September,2008,Acre,1.666
2009-01-01,September,2009,Acre,1.265
2010-01-01,September,2010,Acre,2.531
2011-01-01,September,2011,Acre,1.204
2012-01-01,September,2012,Acre,1.996
2013-01-01,September,2013,Acre,2.136
2014-01-01,September,2014,Acre,2.175
2015-01-01,September,2015,Acre,2.928
2016-01-01,September,2016,Acre,3.586
2017-01-01,September,2017,Acre,3.429
1998-01-01,October,1998,Acre,44.0
1999-01-01,October,1999,Acre,60.0
2000-01-01,October,2000,Acre,18.0
2001-01-01,October,2001,Acre,137.0
2002-01-01,October,2002,Acre,687.0
2003-01-01,October,2003,Acre,740.0
2004-01-01,October,2004,Acre,461.0
2005-01-01,October,2005,Acre,547.0
2006-01-01,October,2006,Acre,316.0
2007-01-01,October,2007,Acre,203.0
2008-01-01,October,2008,Acre,652.0
2009-01-01,October,2009,Acre,565.0
2010-01-01,October,2010,Acre,292.0
2011-01-01,October,2011,Acre,97.0
2012-01-01,October,2012,Acre,348.0
2013-01-01,October,2013,Acre,258.0
2014-01-01,October,2014,Acre,406.0
2015-01-01,October,2015,Acre,905.0
2016-01-01,October,2016,Acre,509.0
2017-01-01,October,2017,Acre,1.508
1998-01-01,November,1998,Acre,0.0
1999-01-01,November,1999,Acre,0.0
2000-01-01,November,2000,Acre,0.0
2001-01-01,November,2001,Acre,1.0
2002-01-01,November,2002,Acre,86.0
2003-01-01,November,2003,Acre,15.0
2005-01-01,November,2005,Acre,14.0
2006-01-01,November,2006,Acre,18.0
2007-01-01,November,2007,Acre,7.0
2008-01-01,November,2008,Acre,4.0
2009-01-01,November,2009,Acre,33.0
2010-01-01,November,2010,Acre,39.0
2011-01-01,November,2011,Acre,74.0
2012-01-01,November,2012,Acre,13.0
2013-01-01,November,2013,Acre,79.0
2014-01-01,November,2014,Acre,56.0
2016-01-01,November,2016,Acre,46.0
2017-01-01,November,2017,Acre,98.0
1998-01-01,December,1998,Acre,7.0
1999-01-01,December,1999,Acre,0.0
2000-01-01,December,2000,Acre,0.0
2001-01-01,December,2001,Acre,0.0
2002-01-01,December,2002,Acre,1.0
2003-01-01,December,2003,Acre,1.0
2004-01-01,December,2004,Acre,7.0
2005-01-01,December,2005,Acre,2.0
2006-01-01,December,2006,Acre,0.0
2007-01-01,December,2007,Acre,0.0
2008-01-01,December,2008,Acre,0.0
2009-01-01,December,2009,Acre,1.0
2010-01-01,December,2010,Acre,0.0
2011-01-01,December,2011,Acre,4.0
2012-01-01,December,2012,Acre,1.0
2013-01-01,December,2013,Acre,3.0
2014-01-01,December,2014,Acre,6.0
2015-01-01,December,2015,Acre,8.0
2016-01-01,December,2016,Acre,6.0
1998-01-01,January,1998,alagoas,0.0
1999-01-01,January,1999,alagoas,58.0
2000-01-01,January,2000,alagoas,11.0
2001-01-01,January,2001,alagoas,5.0
2002-01-01,January,2002,alagoas,12.0
2003-01-01,January,2003,alagoas,150.0
2004-01-01,January,2004,alagoas,9.0
2005-01-01,January,2005,alagoas,83.0
2006-01-01,January,2006,alagoas,29.0
2007-01-01,January,2007,alagoas,33.0
2008-01-01,January,2008,alagoas,55.0
2009-01-01,January,2009,alagoas,104.0
2010-01-01,January,2010,alagoas,23.0
2011-01-01,January,2011,alagoas,41.0
2012-01-01,January,2012,alagoas,36.0
2013-01-01,January,2013,alagoas,49.0
2014-01-01,January,2014,alagoas,54.0
2015-01-01,January,2015,alagoas,81.0
2016-01-01,January,2016,alagoas,24.0
2017-01-01,January,2017,alagoas,38.0
2017-01-01,January,2017,alagoas,38.0
1998-01-01,February,1998,alagoas,0.0
1999-01-01,February,1999,alagoas,20.0
2000-01-01,February,2000,alagoas,16.0
2001-01-01,February,2001,alagoas,4.0
2002-01-01,February,2002,alagoas,15.0
2003-01-01,February,2003,alagoas,33.0
2004-01-01,February,2004,alagoas,7.0
2005-01-01,February,2005,alagoas,31.0
2006-01-01,February,2006,alagoas,14.0
2007-01-01,February,2007,alagoas,28.0
2008-01-01,February,2008,alagoas,74.0
2009-01-01,February,2009,alagoas,32.0
2010-01-01,February,2010,alagoas,26.0
2011-01-01,February,2011,alagoas,33.0
2012-01-01,February,2012,alagoas,41.0
2013-01-01,February,2013,alagoas,19.0
2014-01-01,February,2014,alagoas,29.0
2015-01-01,February,2015,alagoas,46.0
2016-01-01,February,2016,alagoas,14.0
2017-01-01,February,2017,alagoas,21.0
1998-01-01,March,1998,alagoas,0.0
1999-01-01,March,1999,alagoas,52.0
2000-01-01,March,2000,alagoas,32.0
2001-01-01,March,2001,alagoas,0.0
2002-01-01,March,2002,alagoas,27.0
2003-01-01,March,2003,alagoas,15.0
2004-01-01,March,2004,alagoas,16.0
2005-01-01,March,2005,alagoas,35.0
2006-01-01,March,2006,alagoas,37.0
2007-01-01,March,2007,alagoas,7.0
2008-01-01,March,2008,alagoas,31.0
2009-01-01,March,2009,alagoas,31.0
2010-01-01,March,2010,alagoas,70.0
2011-01-01,March,2011,alagoas,34.0
2012-01-01,March,2012,alagoas,44.0
2013-01-01,March,2013,alagoas,31.0
2014-01-01,March,2014,alagoas,28.0
2015-01-01,March,2015,alagoas,32.0
2016-01-01,March,2016,alagoas,9.0
2017-01-01,March,2017,alagoas,23.0
1998-01-01,April,1998,alagoas,0.0
1999-01-01,April,1999,alagoas,4.0
2000-01-01,April,2000,alagoas,20.0
2001-01-01,April,2001,alagoas,0.0
2002-01-01,April,2002,alagoas,6.0
2003-01-01,April,2003,alagoas,20.0
2004-01-01,April,2004,alagoas,6.0
2005-01-01,April,2005,alagoas,1.0
2006-01-01,April,2006,alagoas,2.0
2007-01-01,April,2007,alagoas,1.0
2008-01-01,April,2008,alagoas,18.0
2009-01-01,April,2009,alagoas,5.0
2010-01-01,April,2010,alagoas,3.0
2011-01-01,April,2011,alagoas,17.0
2012-01-01,April,2012,alagoas,18.0
2013-01-01,April,2013,alagoas,25.0
2014-01-01,April,2014,alagoas,16.0
2015-01-01,April,2015,alagoas,63.0
2016-01-01,April,2016,alagoas,13.0
2017-01-01,April,2017,alagoas,7.0
1998-01-01,May,1998,alagoas,0.0
1999-01-01,May,1999,alagoas,1.0
2000-01-01,May,2000,alagoas,1.0
2001-01-01,May,2001,alagoas,2.0
2002-01-01,May,2002,alagoas,1.0
2003-01-01,May,2003,alagoas,1.0
2004-01-01,May,2004,alagoas,3.0
2005-01-01,May,2005,alagoas,0.0
2006-01-01,May,2006,alagoas,0.0
2007-01-01,May,2007,alagoas,0.0
2008-01-01,May,2008,alagoas,0.0
2009-01-01,May,2009,alagoas,0.0
2010-01-01,May,2010,alagoas,0.0
2011-01-01,May,2011,alagoas,0.0
2012-01-01,May,2012,alagoas,21.0
2013-01-01,May,2013,alagoas,2.0
2014-01-01,May,2014,alagoas,1.0
2015-01-01,May,2015,alagoas,18.0
2016-01-01,May,2016,alagoas,4.0
2017-01-01,May,2017,alagoas,1.0
1998-01-01,June,1998,alagoas,0.0
1999-01-01,June,1999,alagoas,0.0
2000-01-01,June,2000,alagoas,0.0
2001-01-01,June,2001,alagoas,2.0
2002-01-01,June,2002,alagoas,0.0
2003-01-01,June,2003,alagoas,0.0
2004-01-01,June,2004,alagoas,0.0
2005-01-01,June,2005,alagoas,0.0
2006-01-01,June,2006,alagoas,0.0
2007-01-01,June,2007,alagoas,0.0
2008-01-01,June,2008,alagoas,0.0
2009-01-01,June,2009,alagoas,0.0
2010-01-01,June,2010,alagoas,0.0
2011-01-01,June,2011,alagoas,2.0
2012-01-01,June,2012,alagoas,4.0
2013-01-01,June,2013,alagoas,1.0
2014-01-01,June,2014,alagoas,2.0
2015-01-01,June,2015,alagoas,2.0
2016-01-01,June,2016,alagoas,5.0
2017-01-01,June,2017,alagoas,2.0
1998-01-01,July,1998,alagoas,0.0
1999-01-01,July,1999,alagoas,0.0
2000-01-01,July,2000,alagoas,0.0
2001-01-01,July,2001,alagoas,0.0
2002-01-01,July,2002,alagoas,5.0
2003-01-01,July,2003,alagoas,0.0
2004-01-01,July,2004,alagoas,0.0
2005-01-01,July,2005,alagoas,0.0
2006-01-01,July,2006,alagoas,0.0
2007-01-01,July,2007,alagoas,0.0
2008-01-01,July,2008,alagoas,0.0
2009-01-01,July,2009,alagoas,0.0
2010-01-01,July,2010,alagoas,2.0
2011-01-01,July,2011,alagoas,0.0
2012-01-01,July,2012,alagoas,0.0
2013-01-01,July,2013,alagoas,0.0
2014-01-01,July,2014,alagoas,1.0
2015-01-01,July,2015,alagoas,0.0
2016-01-01,July,2016,alagoas,3.0
2017-01-01,July,2017,alagoas,0.0
1998-01-01,August,1998,alagoas,1.0
1999-01-01,August,1999,alagoas,3.0
2000-01-01,August,2000,alagoas,4.0
2001-01-01,August,2001,alagoas,1.0
2002-01-01,August,2002,alagoas,3.0
2003-01-01,August,2003,alagoas,2.0
2004-01-01,August,2004,alagoas,2.0
2005-01-01,August,2005,alagoas,2.0
2006-01-01,August,2006,alagoas,1.0
2007-01-01,August,2007,alagoas,3.0
2008-01-01,August,2008,alagoas,1.0
2009-01-01,August,2009,alagoas,0.0
2010-01-01,August,2010,alagoas,1.0
2011-01-01,August,2011,alagoas,4.0
2012-01-01,August,2012,alagoas,0.0
2013-01-01,August,2013,alagoas,0.0
2014-01-01,August,2014,alagoas,3.0
2015-01-01,August,2015,alagoas,3.0
2016-01-01,August,2016,alagoas,5.0
2017-01-01,August,2017,alagoas,1.0
1998-01-01,September,1998,alagoas,14.0
1999-01-01,September,1999,alagoas,3.0
2000-01-01,September,2000,alagoas,22.0
2001-01-01,September,2001,alagoas,5.0
2002-01-01,September,2002,alagoas,14.0
2003-01-01,September,2003,alagoas,8.0
2004-01-01,September,2004,alagoas,5.0
2005-01-01,September,2005,alagoas,7.0
2006-01-01,September,2006,alagoas,4.0
2007-01-01,September,2007,alagoas,2.0
2008-01-01,September,2008,alagoas,9.0
2009-01-01,September,2009,alagoas,13.0
2010-01-01,September,2010,alagoas,5.0
2011-01-01,September,2011,alagoas,5.0
2012-01-01,September,2012,alagoas,6.0
2013-01-01,September,2013,alagoas,4.0
2014-01-01,September,2014,alagoas,11.0
2015-01-01,September,2015,alagoas,7.0
2016-01-01,September,2016,alagoas,18.0
2017-01-01,September,2017,alagoas,4.0
1998-01-01,October,1998,alagoas,20.0
1999-01-01,October,1999,alagoas,4.0
2000-01-01,October,2000,alagoas,13.0
2001-01-01,October,2001,alagoas,15.0
2002-01-01,October,2002,alagoas,30.0
2003-01-01,October,2003,alagoas,10.0
2004-01-01,October,2004,alagoas,12.0
2005-01-01,October,2005,alagoas,17.0
2006-01-01,October,2006,alagoas,32.0
2007-01-01,October,2007,alagoas,6.0
2008-01-01,October,2008,alagoas,18.0
2009-01-01,October,2009,alagoas,30.0
2010-01-01,October,2010,alagoas,16.0
2011-01-01,October,2011,alagoas,23.0
2012-01-01,October,2012,alagoas,28.0
2013-01-01,October,2013,alagoas,25.0
2014-01-01,October,2014,alagoas,7.0
2015-01-01,October,2015,alagoas,40.0
2016-01-01,October,2016,alagoas,74.0
2017-01-01,October,2017,alagoas,14.0
1998-01-01,November,1998,alagoas,19.0
1999-01-01,November,1999,alagoas,15.0
2000-01-01,November,2000,alagoas,2.0
2001-01-01,November,2001,alagoas,22.0
2003-01-01,November,2003,alagoas,17.0
2004-01-01,November,2004,alagoas,28.0
2005-01-01,November,2005,alagoas,25.0
2006-01-01,November,2006,alagoas,12.0
2007-01-01,November,2007,alagoas,15.0
2008-01-01,November,2008,alagoas,37.0
2009-01-01,November,2009,alagoas,55.0
2010-01-01,November,2010,alagoas,31.0
2011-01-01,November,2011,alagoas,23.0
2012-01-01,November,2012,alagoas,95.0
2013-01-01,November,2013,alagoas,10.0
2014-01-01,November,2014,alagoas,14.0
2015-01-01,November,2015,alagoas,162.0
2016-01-01,November,2016,alagoas,76.0
2017-01-01,November,2017,alagoas,10.0
1998-01-01,December,1998,alagoas,32.0
1999-01-01,December,1999,alagoas,12.0
2000-01-01,December,2000,alagoas,2.0
2001-01-01,December,2001,alagoas,30.0
2002-01-01,December,2002,alagoas,95.0
2003-01-01,December,2003,alagoas,43.0
2004-01-01,December,2004,alagoas,71.0
2005-01-01,December,2005,alagoas,16.0
2006-01-01,December,2006,alagoas,30.0
2007-01-01,December,2007,alagoas,33.0
2008-01-01,December,2008,alagoas,34.0
2009-01-01,December,2009,alagoas,55.0
2010-01-01,December,2010,alagoas,45.0
2011-01-01,December,2011,alagoas,50.0
2012-01-01,December,2012,alagoas,59.0
2013-01-01,December,2013,alagoas,42.0
2014-01-01,December,2014,alagoas,24.0
2015-01-01,December,2015,alagoas,136.0
2016-01-01,December,2016,alagoas,155.0
1998-01-01,January,1998,Amapa,0.0
1999-01-01,January,1999,Amapa,0.0
2000-01-01,January,2000,Amapa,2.0
2001-01-01,January,2001,Amapa,0.0
2002-01-01,January,2002,Amapa,7.0
2003-01-01,January,2003,Amapa,31.0
2004-01-01,January,2004,Amapa,38.0
2005-01-01,January,2005,Amapa,109.0
2006-01-01,January,2006,Amapa,6.0
2007-01-01,January,2007,Amapa,0.0
2008-01-01,January,2008,Amapa,2.0
2009-01-01,January,2009,Amapa,4.0
2010-01-01,January,2010,Amapa,2.0
2011-01-01,January,2011,Amapa,0.0
2012-01-01,January,2012,Amapa,30.0
2013-01-01,January,2013,Amapa,3.0
2014-01-01,January,2014,Amapa,10.0
2015-01-01,January,2015,Amapa,14.0
2016-01-01,January,2016,Amapa,19.0
2017-01-01,January,2017,Amapa,2.0
1998-01-01,February,1998,Amapa,0.0
1999-01-01,February,1999,Amapa,1.0
2000-01-01,February,2000,Amapa,0.0
2001-01-01,February,2001,Amapa,0.0
2002-01-01,February,2002,Amapa,2.0
2003-01-01,February,2003,Amapa,0.0
2004-01-01,February,2004,Amapa,2.0
2005-01-01,February,2005,Amapa,1.0
2006-01-01,February,2006,Amapa,2.0
2007-01-01,February,2007,Amapa,0.0
2008-01-01,February,2008,Amapa,0.0
2009-01-01,February,2009,Amapa,0.0
2010-01-01,February,2010,Amapa,0.0
2011-01-01,February,2011,Amapa,3.0
2012-01-01,February,2012,Amapa,5.0
2013-01-01,February,2013,Amapa,0.0
2014-01-01,February,2014,Amapa,2.0
2015-01-01,February,2015,Amapa,1.0
2016-01-01,February,2016,Amapa,1.0
2017-01-01,February,2017,Amapa,0.0
1998-01-01,March,1998,Amapa,0.0
1999-01-01,March,1999,Amapa,2.0
2000-01-01,March,2000,Amapa,0.0
2002-01-01,March,2002,Amapa,0.0
2003-01-01,March,2003,Amapa,1.0
2004-01-01,March,2004,Amapa,0.0
2005-01-01,March,2005,Amapa,0.0
2006-01-01,March,2006,Amapa,0.0
2007-01-01,March,2007,Amapa,0.0
2008-01-01,March,2008,Amapa,1.0
2009-01-01,March,2009,Amapa,1.0
2010-01-01,March,2010,Amapa,2.0
2011-01-01,March,2011,Amapa,0.0
2012-01-01,March,2012,Amapa,1.0
2013-01-01,March,2013,Amapa,0.0
2014-01-01,March,2014,Amapa,1.0
2015-01-01,March,2015,Amapa,2.0
2016-01-01,March,2016,Amapa,5.0
2017-01-01,March,2017,Amapa,0.0
1998-01-01,April,1998,Amapa,0.0
1999-01-01,April,1999,Amapa,0.0
2000-01-01,April,2000,Amapa,0.0
2001-01-01,April,2001,Amapa,0.0
2002-01-01,April,2002,Amapa,0.0
2003-01-01,April,2003,Amapa,2.0
2004-01-01,April,2004,Amapa,0.0
2005-01-01,April,2005,Amapa,0.0
2006-01-01,April,2006,Amapa,0.0
2007-01-01,April,2007,Amapa,0.0
2008-01-01,April,2008,Amapa,2.0
2010-01-01,April,2010,Amapa,2.0
2011-01-01,April,2011,Amapa,0.0
2012-01-01,April,2012,Amapa,2.0
2013-01-01,April,2013,Amapa,2.0
2014-01-01,April,2014,Amapa,0.0
2015-01-01,April,2015,Amapa,0.0
2016-01-01,April,2016,Amapa,0.0
2017-01-01,April,2017,Amapa,3.0
1998-01-01,May,1998,Amapa,0.0
1999-01-01,May,1999,Amapa,0.0
2000-01-01,May,2000,Amapa,0.0
2001-01-01,May,2001,Amapa,0.0
2002-01-01,May,2002,Amapa,3.0
2003-01-01,May,2003,Amapa,0.0
2004-01-01,May,2004,Amapa,0.0
2005-01-01,May,2005,Amapa,0.0
2006-01-01,May,2006,Amapa,0.0
2007-01-01,May,2007,Amapa,0.0
2008-01-01,May,2008,Amapa,0.0
2009-01-01,May,2009,Amapa,2.0
2010-01-01,May,2010,Amapa,2.0
2011-01-01,May,2011,Amapa,2.0
2012-01-01,May,2012,Amapa,2.0
2013-01-01,May,2013,Amapa,0.0
2014-01-01,May,2014,Amapa,0.0
2015-01-01,May,2015,Amapa,0.0
2016-01-01,May,2016,Amapa,1.0
2017-01-01,May,2017,Amapa,1.0
1998-01-01,June,1998,Amapa,0.0
1999-01-01,June,1999,Amapa,2.0
2000-01-01,June,2000,Amapa,0.0
2001-01-01,June,2001,Amapa,0.0
2002-01-01,June,2002,Amapa,0.0
2003-01-01,June,2003,Amapa,0.0
2004-01-01,June,2004,Amapa,5.0
2005-01-01,June,2005,Amapa,2.0
2006-01-01,June,2006,Amapa,0.0
2007-01-01,June,2007,Amapa,0.0
2008-01-01,June,2008,Amapa,0.0
2009-01-01,June,2009,Amapa,1.0
2010-01-01,June,2010,Amapa,0.0
2011-01-01,June,2011,Amapa,0.0
2012-01-01,June,2012,Amapa,7.0
2013-01-01,June,2013,Amapa,1.0
2014-01-01,June,2014,Amapa,0.0
2015-01-01,June,2015,Amapa,3.0
2016-01-01,June,2016,Amapa,2.0
2017-01-01,June,2017,Amapa,2.0
1998-01-01,July,1998,Amapa,0.0
1999-01-01,July,1999,Amapa,0.0
2000-01-01,July,2000,Amapa,0.0
2001-01-01,July,2001,Amapa,1.0
2002-01-01,July,2002,Amapa,1.0
2003-01-01,July,2003,Amapa,0.0
2004-01-01,July,2004,Amapa,2.0
2005-01-01,July,2005,Amapa,0.0
2006-01-01,July,2006,Amapa,0.0
2007-01-01,July,2007,Amapa,0.0
2008-01-01,July,2008,Amapa,0.0
2009-01-01,July,2009,Amapa,4.0
2010-01-01,July,2010,Amapa,2.0
2011-01-01,July,2011,Amapa,5.0
2012-01-01,July,2012,Amapa,3.0
2014-01-01,July,2014,Amapa,4.0
2015-01-01,July,2015,Amapa,5.0
2016-01-01,July,2016,Amapa,1.0
2017-01-01,July,2017,Amapa,3.0
1998-01-01,August,1998,Amapa,1.0
1999-01-01,August,1999,Amapa,0.0
2000-01-01,August,2000,Amapa,3.0
2001-01-01,August,2001,Amapa,12.0
2002-01-01,August,2002,Amapa,18.0
2003-01-01,August,2003,Amapa,14.0
2004-01-01,August,2004,Amapa,9.0
2005-01-01,August,2005,Amapa,4.0
2006-01-01,August,2006,Amapa,11.0
2007-01-01,August,2007,Amapa,5.0
2008-01-01,August,2008,Amapa,4.0
2009-01-01,August,2009,Amapa,20.0
2010-01-01,August,2010,Amapa,1.0
2011-01-01,August,2011,Amapa,16.0
2012-01-01,August,2012,Amapa,19.0
2013-01-01,August,2013,Amapa,9.0
2014-01-01,August,2014,Amapa,18.0
2015-01-01,August,2015,Amapa,40.0
2016-01-01,August,2016,Amapa,37.0
2017-01-01,August,2017,Amapa,33.0
1998-01-01,September,1998,Amapa,20.0
1999-01-01,September,1999,Amapa,4.0
2000-01-01,September,2000,Amapa,19.0
2002-01-01,September,2002,Amapa,73.0
2003-01-01,September,2003,Amapa,88.0
2004-01-01,September,2004,Amapa,67.0
2005-01-01,September,2005,Amapa,97.0
2006-01-01,September,2006,Amapa,112.0
2007-01-01,September,2007,Amapa,61.0
2008-01-01,September,2008,Amapa,83.0
2010-01-01,September,2010,Amapa,63.0
2011-01-01,September,2011,Amapa,128.0
2012-01-01,September,2012,Amapa,168.0
2013-01-01,September,2013,Amapa,85.0
2014-01-01,September,2014,Amapa,137.0
2015-01-01,September,2015,Amapa,192.0
2016-01-01,September,2016,Amapa,142.0
2017-01-01,September,2017,Amapa,95.0
1998-01-01,October,1998,Amapa,42.0
1999-01-01,October,1999,Amapa,25.0
2000-01-01,October,2000,Amapa,42.0
2002-01-01,October,2002,Amapa,557.0
2003-01-01,October,2003,Amapa,355.0
2004-01-01,October,2004,Amapa,412.0
2005-01-01,October,2005,Amapa,335.0
2006-01-01,October,2006,Amapa,405.0
2007-01-01,October,2007,Amapa,162.0
2008-01-01,October,2008,Amapa,395.0
2009-01-01,October,2009,Amapa,765.0
2010-01-01,October,2010,Amapa,265.0
2011-01-01,October,2011,Amapa,304.0
2012-01-01,October,2012,Amapa,475.0
2013-01-01,October,2013,Amapa,385.0
2014-01-01,October,2014,Amapa,480.0
2015-01-01,October,2015,Amapa,827.0
2016-01-01,October,2016,Amapa,793.0
1998-01-01,November,1998,Amapa,131.0
1999-01-01,November,1999,Amapa,26.0
2000-01-01,November,2000,Amapa,157.0
2001-01-01,November,2001,Amapa,406.0
2002-01-01,November,2002,Amapa,1.096
2003-01-01,November,2003,Amapa,750.0
2004-01-01,November,2004,Amapa,949.0
2005-01-01,November,2005,Amapa,685.0
2006-01-01,November,2006,Amapa,207.0
2007-01-01,November,2007,Amapa,198.0
2008-01-01,November,2008,Amapa,266.0
